Quantity,Unit_Price,Discount,Year,Month,Quarter,Day,Day_of_Week_Number,Gross_Sales,Discount_Amount,Net_Unit_Price,Category,Region,Sales
7,7047.45,0.15,2023,1,1,6,4,49332.15,7399.8225,5990.332857142857,Furniture,North,41932.33
1,22431.7,0.25,2023,1,1,7,5,22431.7,5607.925,16823.78,Electronics,West,16823.78
3,22770.88,0.0,2023,1,1,7,5,68312.64,0.0,22770.88,Electronics,East,68312.64
1,6567.29,0.1,2023,1,1,7,5,6567.29,656.729,5910.56,Accessories,East,5910.56
6,1689.22,0.15,2023,1,1,7,5,10135.32,1520.298,1435.8366666666668,Office Supplies,West,8615.02
1,64467.1,0.1,2023,1,1,7,5,64467.1,6446.71,58020.39,Electronics,West,58020.39
1,29231.71,0.05,2023,1,1,7,5,29231.71,1461.5855000000001,27770.12,Electronics,South,27770.12
1,1857.32,0.05,2023,1,1,7,5,1857.32,92.866,1764.45,Office Supplies,Central,1764.45
3,32623.27,0.05,2023,1,1,7,5,97869.81,4893.4905,30992.10666666667,Electronics,West,92976.32
1,27906.65,0.2,2023,1,1,7,5,27906.65,5581.330000000001,22325.32,Electronics,West,22325.32
1,1689.24,0.0,2023,1,1,8,6,1689.24,0.0,1689.24,Furniture,East,1689.24
7,1765.1,0.15,2023,1,1,8,6,12355.699999999999,1853.3549999999998,1500.3342857142857,Office Supplies,South,10502.34
5,21836.24,0.0,2023,1,1,8,6,109181.20000000001,0.0,21836.239999999998,Electronics,West,109181.2
1,68864.56,0.2,2023,1,1,8,6,68864.56,13772.912,55091.65,Electronics,East,55091.65
1,1957.06,0.1,2023,1,1,8,6,1957.06,195.70600000000002,1761.35,Stationery,South,1761.35
4,260.72,0.05,2023,1,1,8,6,1042.88,52.144000000000005,247.685,Stationery,South,990.74
2,3194.98,0.25,2023,1,1,8,6,6389.96,1597.49,2396.235,Accessories,Central,4792.47
2,6215.82,0.05,2023,1,1,8,6,12431.64,621.582,5905.03,Accessories,Central,11810.06
1,3130.6,0.0,2023,1,1,8,6,3130.6,0.0,3130.6,Accessories,North,3130.6
2,6432.2,0.25,2023,1,1,8,6,12864.4,3216.1,4824.15,Accessories,North,9648.3
1,8124.4,0.25,2023,1,1,8,6,8124.4,2031.1,6093.3,Furniture,West,6093.3
1,5442.41,0.0,2023,1,1,8,6,5442.41,0.0,5442.41,Furniture,East,5442.41
2,1857.49,0.15,2023,1,1,9,0,3714.98,557.247,1578.865,Office Supplies,North,3157.73
8,6964.69,0.05,2023,1,1,9,0,55717.52,2785.876,6616.455,Furniture,West,52931.64
2,12952.98,0.05,2023,1,1,9,0,25905.96,1295.298,12305.33,Office Supplies,West,24610.66
5,477.77,0.05,2023,1,1,9,0,2388.85,119.4425,453.88199999999995,Stationery,North,2269.41
2,6183.92,0.0,2023,1,1,9,0,12367.84,0.0,6183.92,Accessories,West,12367.84
3,6330.54,0.0,2023,1,1,9,0,18991.62,0.0,6330.54,Accessories,South,18991.62
4,7003.83,0.05,2023,1,1,9,0,28015.32,1400.766,6653.6375,Furniture,West,26614.55
1,3175.43,0.05,2023,1,1,9,0,3175.43,158.7715,3016.66,Accessories,North,3016.66
6,8771.46,0.05,2023,1,1,9,0,52628.759999999995,2631.438,8332.886666666667,Furniture,South,49997.32
4,11564.98,0.1,2023,1,1,9,0,46259.92,4625.992,10408.4825,Office Supplies,South,41633.93
2,32264.91,0.1,2023,1,1,10,1,64529.82,6452.982,29038.42,Electronics,North,58076.84
3,441.06,0.15,2023,1,1,10,1,1323.18,198.477,374.90000000000003,Stationery,North,1124.7
1,66204.99,0.05,2023,1,1,10,1,66204.99,3310.2495000000004,62894.74,Electronics,West,62894.74
2,26493.43,0.25,2023,1,1,10,1,52986.86,13246.715,19870.075,Electronics,North,39740.15
1,437.0,0.1,2023,1,1,10,1,437.0,43.7,393.3,Stationery,East,393.3
4,22327.08,0.15,2023,1,1,10,1,89308.32,13396.248000000001,18978.0175,Electronics,North,75912.07
1,6736.2,0.1,2023,1,1,10,1,6736.2,673.62,6062.58,Accessories,West,6062.58
2,3241.33,0.15,2023,1,1,10,1,6482.66,972.3989999999999,2755.13,Accessories,South,5510.26
1,440.62,0.25,2023,1,1,10,1,440.62,110.155,330.46,Stationery,East,330.46
7,2901.47,0.15,2023,1,1,10,1,20310.289999999997,3046.5434999999993,2466.25,Accessories,North,17263.75
1,20884.93,0.0,2023,1,1,11,2,20884.93,0.0,20884.93,Electronics,South,20884.93
2,87504.76,0.15,2023,1,1,11,2,175009.52,26251.427999999996,74379.045,Electronics,East,148758.09
6,6385.85,0.1,2023,1,1,11,2,38315.100000000006,3831.5100000000007,5747.264999999999,Accessories,North,34483.59
5,12028.92,0.0,2023,1,1,11,2,60144.6,0.0,12028.92,Office Supplies,West,60144.6
2,4572.64,0.15,2023,1,1,11,2,9145.28,1371.7920000000001,3886.745,Accessories,West,7773.49
1,254.92,0.0,2023,1,1,11,2,254.92,0.0,254.92,Stationery,East,254.92
4,5596.9,0.05,2023,1,1,11,2,22387.6,1119.3799999999999,5317.055,Furniture,East,21268.22
3,12572.88,0.15,2023,1,1,11,2,37718.64,5657.795999999999,10686.946666666667,Office Supplies,South,32060.84
3,446.32,0.25,2023,1,1,11,2,1338.96,334.74,334.74,Stationery,Central,1004.22
2,3111.43,0.1,2023,1,1,11,2,6222.86,622.2860000000001,2800.285,Accessories,North,5600.57
2,6654.74,0.2,2023,1,1,11,2,13309.48,2661.896,5323.79,Accessories,North,10647.58
5,3221.86,0.0,2023,1,1,11,2,16109.300000000001,0.0,3221.8599999999997,Accessories,West,16109.3
2,7123.64,0.1,2023,1,1,12,3,14247.28,1424.728,6411.275,Furniture,North,12822.55
1,469.55,0.1,2023,1,1,12,3,469.55,46.955000000000005,422.6,Stationery,North,422.6
2,66144.07,0.05,2023,1,1,12,3,132288.14,6614.407000000001,62836.865,Electronics,West,125673.73
5,89476.53,0.0,2023,1,1,12,3,447382.65,0.0,89476.53,Electronics,East,447382.65
1,6292.51,0.1,2023,1,1,12,3,6292.51,629.2510000000001,5663.26,Accessories,West,5663.26
7,4775.59,0.1,2023,1,1,12,3,33429.130000000005,3342.9130000000005,4298.0314285714285,Accessories,East,30086.22
2,28510.71,0.15,2023,1,1,12,3,57021.42,8553.213,24234.105,Electronics,West,48468.21
4,13055.39,0.15,2023,1,1,12,3,52221.56,7833.2339999999995,11097.0825,Office Supplies,North,44388.33
6,1780.23,0.0,2023,1,1,12,3,10681.380000000001,0.0,1780.2299999999998,Stationery,East,10681.38
2,257.48,0.15,2023,1,1,12,3,514.96,77.244,218.86,Stationery,West,437.72
6,31953.02,0.1,2023,1,1,12,3,191718.12,19171.812,28757.718333333334,Electronics,North,172546.31
1,1773.21,0.0,2023,1,1,12,3,1773.21,0.0,1773.21,Stationery,North,1773.21
2,64858.83,0.0,2023,1,1,12,3,129717.66,0.0,64858.83,Electronics,East,129717.66
5,85549.25,0.1,2023,1,1,12,3,427746.25,42774.625,76994.324,Electronics,West,384971.62
3,13287.01,0.2,2023,1,1,12,3,39861.03,7972.206,10629.606666666667,Office Supplies,West,31888.82
6,4551.41,0.0,2023,1,1,12,3,27308.46,0.0,4551.41,Accessories,West,27308.46
1,6569.26,0.0,2023,1,1,13,4,6569.26,0.0,6569.26,Accessories,West,6569.26
4,85883.32,0.15,2023,1,1,13,4,343533.28,51529.992000000006,73000.8225,Electronics,Central,292003.29
2,13262.37,0.1,2023,1,1,13,4,26524.74,2652.474,11936.135,Office Supplies,West,23872.27
5,5614.88,0.0,2023,1,1,13,4,28074.4,0.0,5614.88,Furniture,North,28074.4
1,1934.11,0.0,2023,1,1,13,4,1934.11,0.0,1934.11,Furniture,Central,1934.11
8,8927.94,0.1,2023,1,1,13,4,71423.52,7142.352000000001,8035.14625,Furniture,West,64281.17
7,65724.83,0.1,2023,1,1,13,4,460073.81,46007.381,59152.34714285714,Electronics,East,414066.43
5,20898.25,0.1,2023,1,1,13,4,104491.25,10449.125,18808.424,Electronics,West,94042.12
3,13218.2,0.1,2023,1,1,13,4,39654.600000000006,3965.460000000001,11896.38,Office Supplies,Central,35689.14
2,61400.97,0.05,2023,1,1,13,4,122801.94,6140.097000000001,58330.92,Electronics,West,116661.84
2,5799.23,0.0,2023,1,1,13,4,11598.46,0.0,5799.23,Furniture,North,11598.46
3,249.09,0.05,2023,1,1,13,4,747.27,37.3635,236.63666666666666,Stationery,West,709.91
6,1791.59,0.05,2023,1,1,13,4,10749.539999999999,537.477,1702.01,Stationery,West,10212.06
2,27546.08,0.05,2023,1,1,13,4,55092.16,2754.608,26168.775,Electronics,Central,52337.55
3,21918.65,0.1,2023,1,1,13,4,65755.95000000001,6575.595000000001,19726.786666666667,Electronics,East,59180.36
7,64107.29,0.05,2023,1,1,13,4,448751.03,22437.5515,60901.92571428571,Electronics,Central,426313.48
2,7035.86,0.05,2023,1,1,13,4,14071.72,703.586,6684.065,Furniture,North,13368.13
3,85701.55,0.0,2023,1,1,14,5,257104.65000000002,0.0,85701.55,Electronics,North,257104.65
2,21977.24,0.05,2023,1,1,14,5,43954.48,2197.724,20878.38,Electronics,Central,41756.76
4,1876.27,0.0,2023,1,1,14,5,7505.08,0.0,1876.27,Furniture,East,7505.08
1,6820.88,0.1,2023,1,1,14,5,6820.88,682.0880000000001,6138.79,Furniture,Central,6138.79
4,7104.42,0.0,2023,1,1,14,5,28417.68,0.0,7104.42,Furniture,North,28417.68
2,1851.41,0.0,2023,1,1,14,5,3702.82,0.0,1851.41,Office Supplies,North,3702.82
3,6481.53,0.05,2023,1,1,14,5,19444.59,972.2295,6157.453333333334,Accessories,West,18472.36
3,5009.42,0.0,2023,1,1,14,5,15028.26,0.0,5009.42,Furniture,North,15028.26
4,1822.93,0.05,2023,1,1,14,5,7291.72,364.586,1731.7825,Office Supplies,North,6927.13
2,3247.76,0.2,2023,1,1,14,5,6495.52,1299.1040000000003,2598.21,Accessories,West,5196.42
1,1687.96,0.05,2023,1,1,14,5,1687.96,84.39800000000001,1603.56,Stationery,South,1603.56
2,3382.65,0.1,2023,1,1,14,5,6765.3,676.5300000000001,3044.385,Accessories,East,6088.77
1,6986.83,0.1,2023,1,1,14,5,6986.83,698.683,6288.15,Furniture,West,6288.15
5,4675.12,0.1,2023,1,1,15,6,23375.6,2337.56,4207.608,Accessories,West,21038.04
2,61894.64,0.1,2023,1,1,15,6,123789.28,12378.928,55705.175,Electronics,North,111410.35
1,1702.81,0.1,2023,1,1,15,6,1702.81,170.281,1532.53,Stationery,South,1532.53
1,11964.15,0.0,2023,1,1,15,6,11964.15,0.0,11964.15,Office Supplies,South,11964.15
5,447.27,0.0,2023,1,1,15,6,2236.35,0.0,447.27,Stationery,East,2236.35
5,21366.16,0.0,2023,1,1,15,6,106830.8,0.0,21366.16,Electronics,East,106830.8
3,4561.98,0.0,2023,1,1,15,6,13685.939999999999,0.0,4561.9800000000005,Accessories,South,13685.94
2,6417.52,0.0,2023,1,1,15,6,12835.04,0.0,6417.52,Accessories,South,12835.04
1,27204.29,0.1,2023,1,1,15,6,27204.29,2720.429,24483.86,Electronics,North,24483.86
1,80625.02,0.2,2023,1,1,16,0,80625.02,16125.004,64500.02,Electronics,West,64500.02
1,1651.43,0.1,2023,1,1,16,0,1651.43,165.14300000000003,1486.29,Stationery,West,1486.29
2,6809.88,0.15,2023,1,1,16,0,13619.76,2042.964,5788.4,Furniture,South,11576.8
7,3154.09,0.0,2023,1,1,16,0,22078.63,0.0,3154.09,Accessories,West,22078.63
1,87868.26,0.15,2023,1,1,16,0,87868.26,13180.239,74688.02,Electronics,East,74688.02
1,907.73,0.1,2023,1,1,16,0,907.73,90.77300000000001,816.96,Office Supplies,West,816.96
2,5427.11,0.05,2023,1,1,16,0,10854.22,542.711,5155.755,Furniture,South,10311.51
1,252.46,0.1,2023,1,1,16,0,252.46,25.246000000000002,227.21,Stationery,South,227.21
2,12523.21,0.0,2023,1,1,16,0,25046.42,0.0,12523.21,Office Supplies,Central,25046.42
3,21749.25,0.1,2023,1,1,16,0,65247.75,6524.775000000001,19574.326666666668,Electronics,East,58722.98
3,1777.37,0.0,2023,1,1,16,0,5332.11,0.0,1777.37,Office Supplies,South,5332.11
6,65121.08,0.05,2023,1,1,16,0,390726.48,19536.324,61865.026666666665,Electronics,North,371190.16
4,4465.58,0.0,2023,1,1,16,0,17862.32,0.0,4465.58,Accessories,East,17862.32
2,4766.84,0.0,2023,1,1,16,0,9533.68,0.0,4766.84,Accessories,Central,9533.68
4,32286.43,0.1,2023,1,1,16,0,129145.72,12914.572,29057.7875,Electronics,South,116231.15
2,28650.13,0.1,2023,1,1,16,0,57300.26,5730.026000000001,25785.115,Electronics,South,51570.23
2,28101.76,0.2,2023,1,1,16,0,56203.52,11240.704,22481.41,Electronics,East,44962.82
5,6813.26,0.1,2023,1,1,16,0,34066.3,3406.6300000000006,6131.933999999999,Furniture,Central,30659.67
4,6579.86,0.1,2023,1,1,17,1,26319.44,2631.944,5921.875,Furniture,West,23687.5
2,1826.32,0.0,2023,1,1,17,1,3652.64,0.0,1826.32,Stationery,West,3652.64
1,79575.64,0.05,2023,1,1,17,1,79575.64,3978.782,75596.86,Electronics,West,75596.86
1,1854.34,0.1,2023,1,1,17,1,1854.34,185.434,1668.91,Stationery,West,1668.91
1,7602.59,0.25,2023,1,1,17,1,7602.59,1900.6475,5701.94,Furniture,East,5701.94
1,1856.82,0.2,2023,1,1,17,1,1856.82,371.36400000000003,1485.46,Office Supplies,East,1485.46
2,1741.87,0.15,2023,1,1,17,1,3483.74,522.5609999999999,1480.59,Office Supplies,North,2961.18
1,12409.27,0.0,2023,1,1,17,1,12409.27,0.0,12409.27,Office Supplies,South,12409.27
1,27666.36,0.1,2023,1,1,17,1,27666.36,2766.6360000000004,24899.72,Electronics,West,24899.72
3,29368.42,0.0,2023,1,1,17,1,88105.26,0.0,29368.42,Electronics,South,88105.26
7,5293.32,0.15,2023,1,1,17,1,37053.24,5557.986,4499.321428571428,Furniture,West,31495.25
4,487.37,0.0,2023,1,1,17,1,1949.48,0.0,487.37,Stationery,South,1949.48
6,871.99,0.0,2023,1,1,18,2,5231.9400000000005,0.0,871.9899999999999,Office Supplies,East,5231.94
1,250.02,0.0,2023,1,1,18,2,250.02,0.0,250.02,Stationery,Central,250.02
1,83894.11,0.0,2023,1,1,18,2,83894.11,0.0,83894.11,Electronics,East,83894.11
1,1828.2,0.05,2023,1,1,18,2,1828.2,91.41000000000001,1736.79,Furniture,East,1736.79
1,1695.96,0.0,2023,1,1,18,2,1695.96,0.0,1695.96,Furniture,West,1695.96
1,4376.52,0.1,2023,1,1,19,3,4376.52,437.65200000000004,3938.87,Accessories,West,3938.87
1,85794.61,0.0,2023,1,1,19,3,85794.61,0.0,85794.61,Electronics,South,85794.61
1,6641.42,0.1,2023,1,1,19,3,6641.42,664.142,5977.28,Accessories,West,5977.28
5,1780.49,0.2,2023,1,1,19,3,8902.45,1780.4900000000002,1424.392,Office Supplies,East,7121.96
2,6981.09,0.1,2023,1,1,19,3,13962.18,1396.218,6282.98,Furniture,West,12565.96
5,3220.58,0.1,2023,1,1,19,3,16102.9,1610.29,2898.522,Accessories,East,14492.61
2,62643.81,0.1,2023,1,1,19,3,125287.62,12528.762,56379.43,Electronics,Central,112758.86
2,5923.97,0.2,2023,1,1,19,3,11847.94,2369.588,4739.175,Furniture,Central,9478.35
5,1827.62,0.1,2023,1,1,19,3,9138.099999999999,913.81,1644.8580000000002,Stationery,East,8224.29
1,26474.58,0.0,2023,1,1,19,3,26474.58,0.0,26474.58,Electronics,South,26474.58
3,1723.7,0.0,2023,1,1,19,3,5171.1,0.0,1723.7,Office Supplies,East,5171.1
1,253.5,0.0,2023,1,1,19,3,253.5,0.0,253.5,Stationery,West,253.5
3,11713.33,0.0,2023,1,1,19,3,35139.99,0.0,11713.33,Office Supplies,East,35139.99
6,232.12,0.05,2023,1,1,19,3,1392.72,69.63600000000001,220.51333333333332,Stationery,East,1323.08
7,252.49,0.05,2023,1,1,19,3,1767.43,88.37150000000001,239.8657142857143,Stationery,North,1679.06
2,25511.59,0.0,2023,1,1,19,3,51023.18,0.0,25511.59,Electronics,East,51023.18
4,29411.56,0.0,2023,1,1,19,3,117646.24,0.0,29411.56,Electronics,East,117646.24
1,31471.15,0.15,2023,1,1,20,4,31471.15,4720.6725,26750.48,Electronics,North,26750.48
3,6984.21,0.0,2023,1,1,20,4,20952.63,0.0,6984.21,Furniture,West,20952.63
1,5279.8,0.05,2023,1,1,20,4,5279.8,263.99,5015.81,Furniture,South,5015.81
2,63684.17,0.05,2023,1,1,20,4,127368.34,6368.417,60499.96,Electronics,West,120999.92
6,22778.67,0.0,2023,1,1,20,4,136672.02,0.0,22778.67,Electronics,West,136672.02
2,467.77,0.0,2023,1,1,20,4,935.54,0.0,467.77,Stationery,West,935.54
1,22176.44,0.05,2023,1,1,21,5,22176.44,1108.822,21067.62,Electronics,East,21067.62
2,5686.15,0.1,2023,1,1,21,5,11372.3,1137.23,5117.535,Furniture,South,10235.07
3,27788.77,0.0,2023,1,1,21,5,83366.31,0.0,27788.77,Electronics,Central,83366.31
4,257.63,0.0,2023,1,1,21,5,1030.52,0.0,257.63,Stationery,North,1030.52
2,4527.48,0.2,2023,1,1,21,5,9054.96,1810.992,3621.985,Accessories,Central,7243.97
3,5682.4,0.0,2023,1,1,21,5,17047.199999999997,0.0,5682.400000000001,Furniture,South,17047.2
4,84204.22,0.25,2023,1,1,21,5,336816.88,84204.22,63153.165,Electronics,West,252612.66
2,8544.84,0.05,2023,1,1,21,5,17089.68,854.484,8117.6,Furniture,Central,16235.2
2,31940.83,0.1,2023,1,1,21,5,63881.66,6388.166000000001,28746.745,Electronics,West,57493.49
7,252.53,0.1,2023,1,1,21,5,1767.71,176.77100000000002,227.27714285714288,Stationery,South,1590.94
6,64884.45,0.05,2023,1,1,21,5,389306.69999999995,19465.335,61640.22666666666,Electronics,West,369841.36
5,22385.84,0.1,2023,1,1,21,5,111929.2,11192.92,20147.256,Electronics,South,100736.28
1,5980.61,0.0,2023,1,1,21,5,5980.61,0.0,5980.61,Accessories,West,5980.61
1,6320.79,0.1,2023,1,1,21,5,6320.79,632.0790000000001,5688.71,Accessories,North,5688.71
1,422.55,0.0,2023,1,1,21,5,422.55,0.0,422.55,Stationery,East,422.55
4,30795.11,0.05,2023,1,1,21,5,123180.44,6159.022000000001,29255.355,Electronics,South,117021.42
1,2008.13,0.2,2023,1,1,22,6,2008.13,401.62600000000003,1606.5,Stationery,North,1606.5
4,5680.76,0.05,2023,1,1,22,6,22723.04,1136.152,5396.7225,Furniture,East,21586.89
1,85259.72,0.0,2023,1,1,22,6,85259.72,0.0,85259.72,Electronics,West,85259.72
5,468.02,0.1,2023,1,1,22,6,2340.1,234.01,421.218,Stationery,North,2106.09
1,1810.2,0.1,2023,1,1,22,6,1810.2,181.02,1629.18,Furniture,West,1629.18
1,64282.21,0.0,2023,1,1,22,6,64282.21,0.0,64282.21,Electronics,East,64282.21
4,3243.34,0.05,2023,1,1,22,6,12973.36,648.6680000000001,3081.1725,Accessories,South,12324.69
1,12168.54,0.05,2023,1,1,22,6,12168.54,608.427,11560.11,Office Supplies,Central,11560.11
5,249.23,0.1,2023,1,1,22,6,1246.1499999999999,124.615,224.30599999999998,Stationery,North,1121.53
2,89945.51,0.0,2023,1,1,22,6,179891.02,0.0,89945.51,Electronics,North,179891.02
2,21697.78,0.1,2023,1,1,23,0,43395.56,4339.556,19528.0,Electronics,North,39056.0
2,11590.7,0.2,2023,1,1,23,0,23181.4,4636.280000000001,9272.56,Office Supplies,North,18545.12
3,251.46,0.0,2023,1,1,23,0,754.38,0.0,251.46,Stationery,Central,754.38
3,434.09,0.05,2023,1,1,23,0,1302.27,65.1135,412.3866666666667,Stationery,East,1237.16
1,1725.06,0.1,2023,1,1,23,0,1725.06,172.506,1552.55,Stationery,South,1552.55
6,4360.72,0.2,2023,1,1,23,0,26164.32,5232.8640000000005,3488.5766666666664,Accessories,East,20931.46
3,12653.51,0.1,2023,1,1,23,0,37960.53,3796.053,11388.160000000002,Office Supplies,West,34164.48
1,8521.97,0.1,2023,1,1,23,0,8521.97,852.197,7669.77,Furniture,North,7669.77
6,22147.83,0.0,2023,1,1,23,0,132886.98,0.0,22147.83,Electronics,North,132886.98
7,1843.3,0.0,2023,1,1,23,0,12903.1,0.0,1843.3,Office Supplies,West,12903.1
4,1852.03,0.05,2023,1,1,23,0,7408.12,370.406,1759.4275,Office Supplies,West,7037.71
1,7067.7,0.2,2023,1,1,23,0,7067.7,1413.54,5654.16,Furniture,Central,5654.16
2,5598.01,0.15,2023,1,1,23,0,11196.02,1679.403,4758.31,Furniture,East,9516.62
1,5300.19,0.15,2023,1,1,23,0,5300.19,795.0284999999999,4505.16,Furniture,Central,4505.16
4,1749.23,0.0,2023,1,1,24,1,6996.92,0.0,1749.23,Office Supplies,West,6996.92
1,1794.2,0.15,2023,1,1,24,1,1794.2,269.13,1525.07,Furniture,West,1525.07
5,21583.35,0.1,2023,1,1,24,1,107916.75,10791.675000000001,19425.016,Electronics,West,97125.08
2,889.95,0.15,2023,1,1,24,1,1779.9,266.985,756.46,Office Supplies,South,1512.92
4,3041.93,0.0,2023,1,1,24,1,12167.72,0.0,3041.93,Accessories,West,12167.72
3,1722.05,0.25,2023,1,1,24,1,5166.15,1291.5375,1291.5366666666666,Furniture,West,3874.61
3,6858.29,0.05,2023,1,1,25,2,20574.87,1028.7435,6515.376666666667,Furniture,North,19546.13
1,1688.89,0.05,2023,1,1,25,2,1688.89,84.4445,1604.45,Furniture,East,1604.45
5,33715.41,0.05,2023,1,1,25,2,168577.05000000002,8428.8525,32029.640000000003,Electronics,East,160148.2
2,6510.93,0.05,2023,1,1,25,2,13021.86,651.0930000000001,6185.385,Accessories,West,12370.77
2,7110.29,0.05,2023,1,1,25,2,14220.58,711.029,6754.775,Accessories,East,13509.55
2,1782.55,0.25,2023,1,1,25,2,3565.1,891.275,1336.91,Furniture,North,2673.82
1,441.45,0.1,2023,1,1,25,2,441.45,44.145,397.3,Stationery,North,397.3
