Month_Date,Category,Region,Sales,Year,Month,Quarter,Sales_Lag_1,Sales_Lag_2,Sales_Lag_3,Rolling_3_Month_Average,Sales_Growth
2025-07-01,Accessories,Central,170716.46,2025,7,3,40191.23,93865.08,178921.03,104325.77999999998,-0.5718191472270624
2025-08-01,Accessories,Central,141704.97999999998,2025,8,3,170716.46,40191.23,93865.08,101590.92333333334,3.247604763526769
2025-09-01,Accessories,Central,121645.22,2025,9,3,141704.97999999998,170716.46,40191.23,117537.55666666664,-0.16993955943088335
2025-10-01,Accessories,Central,165791.09,2025,10,4,121645.22,141704.97999999998,170716.46,144688.88666666666,-0.1415600213909206
2025-11-01,Accessories,Central,70625.69,2025,11,4,165791.09,121645.22,141704.97999999998,143047.09666666665,0.3629067381357032
2025-12-01,Accessories,Central,184839.44,2025,12,4,70625.69,165791.09,121645.22,119354.0,-0.5740079276877907
2023-04-01,Accessories,East,118014.31,2023,4,2,45290.270000000004,179396.55,143101.82,122596.21333333333,-0.7475410201589718
2023-05-01,Accessories,East,167371.64,2023,5,2,118014.31,45290.270000000004,179396.55,114233.71,1.6057320921248643
2023-06-01,Accessories,East,139752.89,2023,6,2,167371.64,118014.31,45290.270000000004,110225.40666666668,0.41823173816802406
2023-07-01,Accessories,East,120345.04,2023,7,3,139752.89,167371.64,118014.31,141712.94666666668,-0.1650145150038561
2023-08-01,Accessories,East,85838.58,2023,8,3,120345.04,139752.89,167371.64,142489.85666666666,-0.13887262009393875
2023-09-01,Accessories,East,113584.41,2023,9,3,85838.58,120345.04,139752.89,115312.17,-0.2867293907584392
2023-10-01,Accessories,East,113030.26,2023,10,4,113584.41,85838.58,120345.04,106589.34333333334,0.3232326303627111
2023-11-01,Accessories,East,127363.89,2023,11,4,113030.26,113584.41,85838.58,104151.08333333333,-0.004878750525710407
2023-12-01,Accessories,East,37022.43,2023,12,4,127363.89,113030.26,113584.41,117992.85333333333,0.12681232441648826
2024-01-01,Accessories,East,185644.05,2024,1,1,37022.43,127363.89,113030.26,92472.19333333334,-0.7093176880825484
2024-02-01,Accessories,East,143830.16999999998,2024,2,1,185644.05,37022.43,127363.89,116676.79,4.0143669661877945
2024-03-01,Accessories,East,103378.24,2024,3,1,143830.16999999998,185644.05,37022.43,122165.54999999999,-0.22523684438041514
2024-04-01,Accessories,East,133125.37,2024,4,2,103378.24,143830.16999999998,185644.05,144284.15333333332,-0.2812478772708117
2024-05-01,Accessories,East,167081.01,2024,5,2,133125.37,103378.24,143830.16999999998,126777.92666666665,0.2877504008580527
2024-06-01,Accessories,East,84894.56999999999,2024,6,2,167081.01,133125.37,103378.24,134528.20666666667,0.2550651314621699
2024-07-01,Accessories,East,120067.25,2024,7,3,84894.56999999999,167081.01,133125.37,128366.98333333334,-0.4918957576327795
2024-08-01,Accessories,East,157682.1,2024,8,3,120067.25,84894.56999999999,167081.01,124014.27666666667,0.41431012607755724
2024-09-01,Accessories,East,59288.0,2024,9,3,157682.1,120067.25,84894.56999999999,120881.30666666666,0.3132815151508843
2024-10-01,Accessories,East,166596.18,2024,10,4,59288.0,157682.1,120067.25,112345.78333333333,-0.6240029781439999
2024-11-01,Accessories,East,178063.17,2024,11,4,166596.18,59288.0,157682.1,127855.42666666665,1.809947712859263
2024-12-01,Accessories,East,80832.70999999999,2024,12,4,178063.17,166596.18,59288.0,134649.11666666667,0.06883105002767786
2025-01-01,Accessories,East,109171.08,2025,1,1,80832.70999999999,178063.17,166596.18,141830.68666666668,-0.546044754791235
2025-02-01,Accessories,East,94873.22,2025,2,1,109171.08,80832.70999999999,178063.17,122688.98666666668,0.3505804766412015
2025-03-01,Accessories,East,125236.46,2025,3,1,94873.22,109171.08,80832.70999999999,94959.00333333334,-0.13096746867393816
2025-04-01,Accessories,East,102660.06,2025,4,2,125236.46,94873.22,109171.08,109760.25333333334,0.32004015464005553
2025-05-01,Accessories,East,148913.65,2025,5,2,102660.06,125236.46,94873.22,107589.91333333333,-0.18027018649361382
2025-06-01,Accessories,East,92189.39,2025,6,2,148913.65,102660.06,125236.46,125603.39000000001,0.450550973767208
2025-07-01,Accessories,East,147639.13,2025,7,3,92189.39,148913.65,102660.06,114587.7,-0.38092048646984344
2025-08-01,Accessories,East,88262.76,2025,8,3,147639.13,92189.39,148913.65,129580.72333333333,0.6014763737996314
2025-09-01,Accessories,East,138093.46,2025,9,3,88262.76,147639.13,92189.39,109363.76,-0.4021723102811565
2025-10-01,Accessories,East,149049.2,2025,10,4,138093.46,88262.76,147639.13,124665.11666666665,0.5645721933010026
2025-11-01,Accessories,East,92244.94,2025,11,4,149049.2,138093.46,88262.76,125135.14,0.07933569048092526
2025-12-01,Accessories,East,182123.83,2025,12,4,92244.94,149049.2,138093.46,126462.53333333333,-0.3811108009972546
2023-04-01,Accessories,North,156625.1,2023,4,2,100359.66,74898.91,120415.59,98558.05333333334,0.33993485352457053
2023-05-01,Accessories,North,118097.69,2023,5,2,156625.1,100359.66,74898.91,110627.89000000001,0.5606380093356236
2023-06-01,Accessories,North,80741.04,2023,6,2,118097.69,156625.1,100359.66,125027.48333333334,-0.24598490280293517
2023-07-01,Accessories,North,133726.8,2023,7,3,80741.04,118097.69,156625.1,118487.94333333334,-0.3163199043097288
2023-08-01,Accessories,North,116935.38,2023,8,3,133726.8,80741.04,118097.69,110855.17666666665,0.6562432190618304
2023-09-01,Accessories,North,112649.44,2023,9,3,116935.38,133726.8,80741.04,110467.73999999999,-0.12556510736815651
2023-10-01,Accessories,North,106412.81,2023,10,4,112649.44,116935.38,133726.8,121103.87333333334,-0.0366522091089968
2023-11-01,Accessories,North,213007.63999999998,2023,11,4,106412.81,112649.44,116935.38,111999.21,-0.055363169137813806
2023-12-01,Accessories,North,83743.4,2023,12,4,213007.63999999998,106412.81,112649.44,144023.29666666666,1.0017105083495115
2024-01-01,Accessories,North,157751.28,2024,1,1,83743.4,213007.63999999998,106412.81,134387.94999999998,-0.6068525992776597
2024-02-01,Accessories,North,120174.20999999999,2024,2,1,157751.28,83743.4,213007.63999999998,151500.77333333332,0.8837458235514681
2024-03-01,Accessories,North,182465.75,2024,3,1,120174.20999999999,157751.28,83743.4,120556.29666666668,-0.23820453311060297
2024-04-01,Accessories,North,188571.36,2024,4,2,182465.75,120174.20999999999,157751.28,153463.74666666667,0.5183436612564378
2024-05-01,Accessories,North,117312.12,2024,5,2,188571.36,182465.75,120174.20999999999,163737.10666666666,0.0334616770544609
2024-06-01,Accessories,North,94654.59,2024,6,2,117312.12,188571.36,182465.75,162783.07666666666,-0.3778900465054714
2024-07-01,Accessories,North,154734.32,2024,7,3,94654.59,117312.12,188571.36,133512.69,-0.19313886749297515
2024-08-01,Accessories,North,150618.66999999998,2024,8,3,154734.32,94654.59,117312.12,122233.67666666668,0.6347260074762355
2024-09-01,Accessories,North,83262.87,2024,9,3,150618.66999999998,154734.32,94654.59,133335.86,-0.026598171627341793
2024-10-01,Accessories,North,141766.39,2024,10,4,83262.87,150618.66999999998,154734.32,129538.62,-0.4471942289757306
2024-11-01,Accessories,North,198943.34,2024,11,4,141766.39,83262.87,150618.66999999998,125215.97666666667,0.7026363612015778
2024-12-01,Accessories,North,102889.37,2024,12,4,198943.34,141766.39,83262.87,141324.19999999998,0.4033180925323694
2025-01-01,Accessories,North,86841.27,2025,1,1,102889.37,198943.34,141766.39,147866.36666666667,-0.4828207367987287
2025-02-01,Accessories,North,132531.45,2025,2,1,86841.27,102889.37,198943.34,129557.99333333333,-0.1559743246556956
2025-03-01,Accessories,North,108441.0,2025,3,1,132531.45,86841.27,102889.37,107420.69666666666,0.5261344059109223
2025-04-01,Accessories,North,145735.67,2025,4,2,108441.0,132531.45,86841.27,109271.23999999999,-0.181771571955185
2025-05-01,Accessories,North,169329.53,2025,5,2,145735.67,108441.0,132531.45,128902.70666666667,0.3439166920260788
2025-06-01,Accessories,North,115264.45,2025,6,2,169329.53,145735.67,108441.0,141168.7333333333,0.161894888190379
2025-07-01,Accessories,North,152646.85,2025,7,3,115264.45,169329.53,145735.67,143443.21666666665,-0.3192891399391471
2025-08-01,Accessories,North,153100.18,2025,8,3,152646.85,115264.45,169329.53,145746.94333333333,0.3243185561549984
2025-09-01,Accessories,North,120514.45,2025,9,3,153100.18,152646.85,115264.45,140337.16,0.0029697959702410515
2025-10-01,Accessories,North,132221.39,2025,10,4,120514.45,153100.18,152646.85,142087.16,-0.21283926642019624
2025-11-01,Accessories,North,198061.25,2025,11,4,132221.39,120514.45,153100.18,135278.67333333334,0.09714138014155171
2025-12-01,Accessories,North,131517.41,2025,12,4,198061.25,132221.39,120514.45,150265.69666666668,0.4979516551747034
2023-04-01,Accessories,South,67770.9,2023,4,2,201516.44,106401.51,149652.45,152523.46666666667,0.8939246256937521
2023-05-01,Accessories,South,156123.46,2023,5,2,67770.9,201516.44,106401.51,125229.61666666665,-0.6636954285218616
2023-06-01,Accessories,South,105140.09,2023,6,2,156123.46,67770.9,201516.44,141803.6,1.3036946536050134
2023-07-01,Accessories,South,113329.27,2023,7,3,105140.09,156123.46,67770.9,109678.14999999998,-0.32655803298235897
2023-08-01,Accessories,South,192269.2,2023,8,3,113329.27,105140.09,156123.46,124864.27333333333,0.07788827268456777
2023-09-01,Accessories,South,94755.73999999999,2023,9,3,192269.2,113329.27,105140.09,136912.85333333336,0.6965537676189038
2023-10-01,Accessories,South,144681.97,2023,10,4,94755.73999999999,192269.2,113329.27,133451.40333333335,-0.5071715074489311
2023-11-01,Accessories,South,120385.92,2023,11,4,144681.97,94755.73999999999,192269.2,143902.30333333334,0.5268939908020349
2023-12-01,Accessories,South,158057.13,2023,12,4,120385.92,144681.97,94755.73999999999,119941.21,-0.16792728216238695
2024-01-01,Accessories,South,110088.01,2024,1,1,158057.13,120385.92,144681.97,141041.67333333334,0.3129203980000319
2024-02-01,Accessories,South,123576.92,2024,2,1,110088.01,158057.13,120385.92,129510.35333333335,-0.30349228788350147
2024-03-01,Accessories,South,112989.56999999999,2024,3,1,123576.92,110088.01,158057.13,130574.02,0.12252842066997127
2024-04-01,Accessories,South,213541.26,2024,4,2,112989.56999999999,123576.92,110088.01,115551.5,-0.08567416957794394
2024-05-01,Accessories,South,154691.3,2024,5,2,213541.26,112989.56999999999,123576.92,150035.91666666666,0.889920105015003
2024-06-01,Accessories,South,121685.65,2024,6,2,154691.3,213541.26,112989.56999999999,160407.37666666668,-0.27559058141738046
2024-07-01,Accessories,South,192622.65,2024,7,3,121685.65,154691.3,213541.26,163306.06999999998,-0.2133646171439505
2024-08-01,Accessories,South,212745.31,2024,8,3,192622.65,121685.65,154691.3,156333.19999999998,0.5829528789960032
2024-09-01,Accessories,South,190916.63,2024,9,3,212745.31,192622.65,121685.65,175684.53666666665,0.10446673846507659
2024-10-01,Accessories,South,62259.07,2024,10,4,190916.63,212745.31,192622.65,198761.53,-0.10260475307305239
2024-11-01,Accessories,South,197349.65,2024,11,4,62259.07,190916.63,212745.31,155307.00333333333,-0.6738939399883603
2024-12-01,Accessories,South,214181.92,2024,12,4,197349.65,62259.07,190916.63,150175.11666666667,2.1698136512479227
2025-01-01,Accessories,South,121946.39,2025,1,1,214181.92,197349.65,62259.07,157930.21333333335,0.0852916131343533
2025-02-01,Accessories,South,104658.72,2025,2,1,121946.39,214181.92,197349.65,177825.98666666666,-0.4306410643811579
2025-03-01,Accessories,South,59680.520000000004,2025,3,1,104658.72,121946.39,214181.92,146929.00999999998,-0.14176450815805208
2025-04-01,Accessories,South,224520.06,2025,4,2,59680.520000000004,104658.72,121946.39,95428.54333333333,-0.4297606544394963
2025-05-01,Accessories,South,119438.03,2025,5,2,224520.06,59680.520000000004,104658.72,129619.76666666666,2.762032569421312
2025-06-01,Accessories,South,89810.5,2025,6,2,119438.03,224520.06,59680.520000000004,134546.20333333334,-0.4680295827464147
2025-07-01,Accessories,South,101474.04999999999,2025,7,3,89810.5,119438.03,224520.06,144589.53,-0.24805775848781164
2025-08-01,Accessories,South,104725.86,2025,8,3,101474.04999999999,89810.5,119438.03,103574.19333333331,0.12986844522633745
2025-09-01,Accessories,South,96297.18,2025,9,3,104725.86,101474.04999999999,89810.5,98670.13666666666,0.03204572991814181
2025-10-01,Accessories,South,89142.3,2025,10,4,96297.18,104725.86,101474.04999999999,100832.36333333333,-0.0804832731858206
2025-11-01,Accessories,South,121936.42,2025,11,4,89142.3,96297.18,104725.86,96721.77999999998,-0.07429999507773744
2025-12-01,Accessories,South,117108.76,2025,12,4,121936.42,89142.3,96297.18,102458.63333333335,0.3678850556918545
2023-04-01,Accessories,West,70954.05,2023,4,2,110039.23,218127.77000000002,253905.39,194024.13,-0.49552856108142496
2023-05-01,Accessories,West,157610.38,2023,5,2,70954.05,110039.23,218127.77000000002,133040.35,-0.3551931433907707
2023-06-01,Accessories,West,163716.78,2023,6,2,157610.38,70954.05,110039.23,112867.88666666667,1.2213020962157906
2023-07-01,Accessories,West,222842.93,2023,7,3,163716.78,157610.38,70954.05,130760.40333333334,0.038743641123129
2023-08-01,Accessories,West,328146.38,2023,8,3,222842.93,163716.78,157610.38,181390.03000000003,0.3611489915694652
2023-09-01,Accessories,West,264984.77,2023,9,3,328146.38,222842.93,163716.78,238235.36333333337,0.47254561766891157
2023-10-01,Accessories,West,110837.14,2023,10,4,264984.77,328146.38,222842.93,271991.36000000004,-0.1924799840851512
2023-11-01,Accessories,West,96223.44,2023,11,4,110837.14,264984.77,328146.38,234656.09666666668,-0.5817226023971114
2023-12-01,Accessories,West,99519.94,2023,12,4,96223.44,110837.14,264984.77,157348.45,-0.13184840388339136
2024-01-01,Accessories,West,276322.62,2024,1,1,99519.94,96223.44,110837.14,102193.50666666667,0.03425880429965922
2024-02-01,Accessories,West,116380.23,2024,2,1,276322.62,99519.94,96223.44,157355.33333333334,1.7765553315245164
2024-03-01,Accessories,West,232363.69,2024,3,1,116380.23,276322.62,99519.94,164074.26333333334,-0.5788248171648054
2024-04-01,Accessories,West,131151.68,2024,4,2,232363.69,116380.23,276322.62,208355.51333333334,0.9965907439777357
2024-05-01,Accessories,West,166201.33,2024,5,2,131151.68,232363.69,116380.23,159965.19999999998,-0.43557584233577973
2024-06-01,Accessories,West,206177.44,2024,6,2,166201.33,131151.68,232363.69,176572.2333333333,0.26724514699316093
2024-07-01,Accessories,West,196658.25999999998,2024,7,3,206177.44,166201.33,131151.68,167843.4833333333,0.24052821959968673
2024-08-01,Accessories,West,81910.98,2024,8,3,196658.25999999998,206177.44,166201.33,189679.01,-0.046169842830525165
2024-09-01,Accessories,West,157952.93,2024,9,3,81910.98,196658.25999999998,206177.44,161582.22666666665,-0.5834856873034471
2024-10-01,Accessories,West,181495.86,2024,10,4,157952.93,81910.98,196658.25999999998,145507.38999999998,0.9283486780404777
2024-11-01,Accessories,West,54332.2,2024,11,4,181495.86,157952.93,81910.98,140453.25666666665,0.14905028985533852
2024-12-01,Accessories,West,127202.4,2024,12,4,54332.2,181495.86,157952.93,131260.33,-0.7006422074861652
2025-01-01,Accessories,West,167752.69,2025,1,1,127202.4,54332.2,181495.86,121010.15333333332,1.3411973010479974
2025-02-01,Accessories,West,169145.66999999998,2025,2,1,167752.69,127202.4,54332.2,116429.09666666666,0.31878557322817813
2025-03-01,Accessories,West,155716.2,2025,3,1,169145.66999999998,167752.69,127202.4,154700.25333333333,0.008303771462621512
2025-04-01,Accessories,West,255747.74,2025,4,2,155716.2,169145.66999999998,167752.69,164204.85333333333,-0.0793958840329757
2025-05-01,Accessories,West,101522.52,2025,5,2,255747.74,155716.2,169145.66999999998,193536.53666666665,0.6423964879697808
2025-06-01,Accessories,West,177516.08000000002,2025,6,2,101522.52,255747.74,155716.2,170995.48666666666,-0.6030364921308786
2025-07-01,Accessories,West,176115.59,2025,7,3,177516.08000000002,101522.52,255747.74,178262.11333333337,0.7485389448567668
2025-08-01,Accessories,West,153045.87,2025,8,3,176115.59,177516.08000000002,101522.52,151718.06333333335,-0.007889369796809542
2025-09-01,Accessories,West,249029.4,2025,9,3,153045.87,176115.59,177516.08000000002,168892.51333333334,-0.13099192411075022
2025-10-01,Accessories,West,50786.22,2025,10,4,249029.4,153045.87,176115.59,192730.28666666665,0.627155309712049
2025-11-01,Accessories,West,140605.42,2025,11,4,50786.22,249029.4,153045.87,150953.83,-0.7960633563747894
2025-12-01,Accessories,West,156348.79,2025,12,4,140605.42,50786.22,249029.4,146807.01333333334,1.7685742313564585
2023-04-01,Electronics,Central,1224208.96,2023,4,2,2541388.98,903177.02,1413649.13,1619405.0433333332,1.8138326415789452
2023-05-01,Electronics,Central,1532752.1600000001,2023,5,2,1224208.96,2541388.98,903177.02,1556258.32,-0.5182913872554842
2023-06-01,Electronics,Central,1405623.3,2023,6,2,1532752.1600000001,1224208.96,2541388.98,1766116.7,0.2520347506687095
2023-07-01,Electronics,Central,2048678.92,2023,7,3,1405623.3,1532752.1600000001,1224208.96,1387528.14,-0.08294156310306555
2023-08-01,Electronics,Central,1091198.48,2023,8,3,2048678.92,1405623.3,1532752.1600000001,1662351.46,0.45748787744198594
2023-09-01,Electronics,Central,1611660.76,2023,9,3,1091198.48,2048678.92,1405623.3,1515166.9000000001,-0.4673648128326522
2023-10-01,Electronics,Central,1271263.79,2023,10,4,1611660.76,1091198.48,2048678.92,1583846.0533333335,0.47696389753035584
2023-11-01,Electronics,Central,1492270.47,2023,11,4,1271263.79,1611660.76,1091198.48,1324707.6766666668,-0.21120882163812194
2023-12-01,Electronics,Central,2469750.49,2023,12,4,1492270.47,1271263.79,1611660.76,1458398.3399999999,0.17384800993977811
2024-01-01,Electronics,Central,1787462.13,2024,1,1,2469750.49,1492270.47,1271263.79,1744428.25,0.6550287227757046
2024-02-01,Electronics,Central,1715478.59,2024,2,1,1787462.13,2469750.49,1492270.47,1916494.3633333333,-0.2762580117961634
2024-03-01,Electronics,Central,2233293.06,2024,3,1,1715478.59,1787462.13,2469750.49,1990897.07,-0.04027136507781559
2024-04-01,Electronics,Central,736770.01,2024,4,2,2233293.06,1715478.59,1787462.13,1912077.9266666668,0.3018484013840126
2024-05-01,Electronics,Central,1259126.54,2024,5,2,736770.01,2233293.06,1715478.59,1561847.22,-0.6700970315109473
2024-06-01,Electronics,Central,732796.22,2024,6,2,1259126.54,736770.01,2233293.06,1409729.87,0.7089818028831005
2024-07-01,Electronics,Central,2361263.34,2024,7,3,732796.22,1259126.54,736770.01,909564.2566666667,-0.4180122515724274
2024-08-01,Electronics,Central,3085391.01,2024,8,3,2361263.34,732796.22,1259126.54,1451062.0333333332,2.2222646290397075
2024-09-01,Electronics,Central,2065202.8900000001,2024,9,3,3085391.01,2361263.34,732796.22,2059816.8566666665,0.30666959408263206
2024-10-01,Electronics,Central,888516.53,2024,10,4,2065202.8900000001,3085391.01,2361263.34,2503952.4133333336,-0.3306511611311137
2024-11-01,Electronics,Central,1757271.02,2024,11,4,888516.53,2065202.8900000001,3085391.01,2013036.8099999998,-0.569767922414635
2024-12-01,Electronics,Central,1430223.32,2024,12,4,1757271.02,888516.53,2065202.8900000001,1570330.1466666667,0.9777583879052874
2025-01-01,Electronics,Central,1948959.21,2025,1,1,1430223.32,1757271.02,888516.53,1358670.29,-0.18611113270393542
2025-02-01,Electronics,Central,1553692.61,2025,2,1,1948959.21,1430223.32,1757271.02,1712151.1833333333,0.36269572922360127
2025-03-01,Electronics,Central,2741031.29,2025,3,1,1553692.61,1948959.21,1430223.32,1644291.7133333336,-0.2028090675125006
2025-04-01,Electronics,Central,2016727.6300000001,2025,4,2,2741031.29,1553692.61,1948959.21,2081227.7033333334,0.7642043685848514
2025-05-01,Electronics,Central,2610247.54,2025,5,2,2016727.6300000001,2741031.29,1553692.61,2103817.1766666668,-0.264244944099124
2025-06-01,Electronics,Central,1297264.01,2025,6,2,2610247.54,2016727.6300000001,2741031.29,2456002.1533333333,0.2942984968178375
2025-07-01,Electronics,Central,2619332.94,2025,7,3,1297264.01,2610247.54,2016727.6300000001,1974746.3933333333,-0.5030111167157733
2025-08-01,Electronics,Central,1082698.22,2025,8,3,2619332.94,1297264.01,2610247.54,2175614.83,1.0191209497903206
2025-09-01,Electronics,Central,835568.4600000001,2025,9,3,1082698.22,2619332.94,1297264.01,1666431.7233333334,-0.5866511647045526
2025-10-01,Electronics,Central,1978752.41,2025,10,4,835568.4600000001,1082698.22,2619332.94,1512533.2066666668,-0.22825359406243406
2025-11-01,Electronics,Central,1255102.3599999999,2025,11,4,1978752.41,835568.4600000001,1082698.22,1299006.3633333333,1.3681511506549682
2025-12-01,Electronics,Central,2355481.21,2025,12,4,1255102.3599999999,1978752.41,835568.4600000001,1356474.41,-0.36571025578687744
2023-04-01,Electronics,East,2208767.07,2023,4,2,1988583.62,1215705.58,2696054.7,1966781.3,0.6357444209477101
2023-05-01,Electronics,East,1206857.25,2023,5,2,2208767.07,1988583.62,1215705.58,1804352.0899999999,0.11072375724386174
2023-06-01,Electronics,East,4499543.82,2023,6,2,1206857.25,2208767.07,1988583.62,1801402.6466666665,-0.4536059205192695
2023-07-01,Electronics,East,1330878.51,2023,7,3,4499543.82,1206857.25,2208767.07,2638389.38,2.728314860767502
2023-08-01,Electronics,East,820011.51,2023,8,3,1330878.51,4499543.82,1206857.25,2345759.86,-0.7042192357179888
2023-09-01,Electronics,East,2385829.67,2023,9,3,820011.51,1330878.51,4499543.82,2216811.28,-0.3838569757956344
2023-10-01,Electronics,East,641929.69,2023,10,4,2385829.67,820011.51,1330878.51,1512239.8966666665,1.9095075384978437
2023-11-01,Electronics,East,1043320.3,2023,11,4,641929.69,2385829.67,820011.51,1282590.29,-0.7309406878153208
2023-12-01,Electronics,East,2017942.53,2023,12,4,1043320.3,641929.69,2385829.67,1357026.5533333335,0.625287498386311
2024-01-01,Electronics,East,1947146.07,2024,1,1,2017942.53,1043320.3,641929.69,1234397.5066666666,0.9341543819285409
2024-02-01,Electronics,East,1618988.71,2024,2,1,1947146.07,2017942.53,1043320.3,1669469.6333333335,-0.03508348674330186
2024-03-01,Electronics,East,1749766.83,2024,3,1,1618988.71,1947146.07,2017942.53,1861359.1033333335,-0.16853248200326343
2024-04-01,Electronics,East,2548898.11,2024,4,2,1749766.83,1618988.71,1947146.07,1771967.2033333334,0.08077766027163968
2024-05-01,Electronics,East,1547617.32,2024,5,2,2548898.11,1749766.83,1618988.71,1972551.2166666666,0.4567072973945905
2024-06-01,Electronics,East,2894085.4499999997,2024,6,2,1547617.32,2548898.11,1749766.83,1948760.7533333332,-0.3928288800841866
2024-07-01,Electronics,East,1411805.2,2024,7,3,2894085.4499999997,1547617.32,2548898.11,2330200.293333333,0.870026532140387
2024-08-01,Electronics,East,1958040.97,2024,8,3,1411805.2,2894085.4499999997,1547617.32,1951169.3233333332,-0.512175703035997
2024-09-01,Electronics,East,1695803.44,2024,9,3,1958040.97,1411805.2,2894085.4499999997,2087977.2066666663,0.3869059059989297
2024-10-01,Electronics,East,1349166.5899999999,2024,10,4,1695803.44,1958040.97,1411805.2,1688549.8699999999,-0.13392852040271663
2024-11-01,Electronics,East,2404928.23,2024,11,4,1349166.5899999999,1695803.44,1958040.97,1667670.3333333333,-0.20440862532983195
2024-12-01,Electronics,East,3626405.69,2024,12,4,2404928.23,1349166.5899999999,1695803.44,1816632.7533333332,0.7825287461350494
2025-01-01,Electronics,East,2866186.86,2025,1,1,3626405.69,2404928.23,1349166.5899999999,2460166.8366666664,0.5079059926873577
2025-02-01,Electronics,East,530583.17,2025,2,1,2866186.86,3626405.69,2404928.23,2965840.26,-0.20963424806450714
2025-03-01,Electronics,East,1229708.9100000001,2025,3,1,530583.17,2866186.86,3626405.69,2341058.5733333332,-0.8148818636339712
2025-04-01,Electronics,East,3578587.75,2025,4,2,1229708.9100000001,530583.17,2866186.86,1542159.6466666665,1.3176553263082207
2025-05-01,Electronics,East,1251836.4100000001,2025,5,2,3578587.75,1229708.9100000001,530583.17,1779626.61,1.9101096372474031
2025-06-01,Electronics,East,2271071.88,2025,6,2,1251836.4100000001,3578587.75,1229708.9100000001,2020044.3566666667,-0.6501870297857024
2025-07-01,Electronics,East,2606221.29,2025,7,3,2271071.88,1251836.4100000001,3578587.75,2367165.3466666667,0.8141922234072099
2025-08-01,Electronics,East,1433193.1400000001,2025,8,3,2606221.29,2271071.88,1251836.4100000001,2043043.1933333334,0.14757322872581202
2025-09-01,Electronics,East,1831143.25,2025,9,3,1433193.1400000001,2606221.29,2271071.88,2103495.436666667,-0.4500877014936824
